DT,PersianDate,ContractCode,FirstPrice,MaxPrice,MinPrice,LastPrice,TradesVolume,TradesValue,OpenInterest,ChangeOpenInterest,ActiveCustomers,ActiveBrokers,C_Buy,C_Sell,LastSettlementPrice,TodaySettlementPrice,SettlementPricePercent
2024-12-09T00:00:00,1403/09/19,CD1SIB0001,0,0,0,0,0,0,0,0,0,0,0,0,0,850000.0,0
2024-12-10T00:00:00,1403/09/20,CD1SIB0001,880500.0,920000.0,880000.0,895000.0,280165,249139868690,277406,0,350,34,354,19,0,889261.0,0
2024-12-11T00:00:00,1403/09/21,CD1SIB0001,915000.0,932000.0,914000.0,929990.0,159393,146927059470,431687,154281,476,36,202,16,889261.0,921791.0,3.6581
2024-12-12T00:00:00,1403/09/22,CD1SIB0001,929900.0,930100.0,927120.0,929990.0,42378,39408379610,473687,42000,532,38,114,10,921791.0,929925.0,0.8824
2024-12-14T00:00:00,1403/09/24,CD1SIB0001,929700.0,940000.0,929700.0,940000.0,82857,77319294750,541605,67918,614,39,183,18,929925.0,933166.0,0.3485
2024-12-15T00:00:00,1403/09/25,CD1SIB0001,940000.0,940010.0,934000.0,936000.0,41001,38455339920,563335,21730,687,42,169,17,933166.0,937912.0,0.5086
2024-12-16T00:00:00,1403/09/26,CD1SIB0001,940000.0,940000.0,939750.0,939940.0,60646,57005104270,607333,43998,749,46,139,10,937912.0,939965.0,0.2189
2024-12-17T00:00:00,1403/09/27,CD1SIB0001,933510.0,960000.0,933510.0,957970.0,161592,153769159800,757503,150170,793,48,128,31,939965.0,951589.0,1.2366
2024-12-18T00:00:00,1403/09/28,CD1SIB0001,950000.0,950010.0,949410.0,950000.0,153951,146252608100,906960,149457,852,48,160,7,951589.0,949995.0,-0.1675
2024-12-19T00:00:00,1403/09/29,CD1SIB0001,949990.0,950000.0,939880.0,950000.0,4361,4125742610,907770,810,859,48,36,15,949995.0,946054.0,-0.4148
2024-12-21T00:00:00,1403/10/01,CD1SIB0001,940000.0,950000.0,940000.0,950000.0,11223,10649003400,913624,5854,888,49,86,18,946054.0,948855.0,0.2961
2024-12-22T00:00:00,1403/10/02,CD1SIB0001,949980.0,950000.0,935000.0,949000.0,100928,94634242040,1011705,98081,920,50,116,8,948855.0,937641.0,-1.1818
2024-12-23T00:00:00,1403/10/03,CD1SIB0001,949990.0,950000.0,949000.0,949990.0,28736,27297723680,1030156,18451,977,50,146,16,937641.0,949949.0,1.3127
2024-12-24T00:00:00,1403/10/04,CD1SIB0001,949980.0,949990.0,949000.0,949920.0,29344,27874561790,1055948,25792,1023,50,132,19,949949.0,949924.0,-0.0026
2024-12-25T00:00:00,1403/10/05,CD1SIB0001,946400.0,954000.0,944120.0,954000.0,89504,84729444390,1136827,80879,1052,50,107,17,949924.0,946655.0,-0.3441
2024-12-26T00:00:00,1403/10/06,CD1SIB0001,956000.0,956000.0,955940.0,956000.0,4154,3971182370,1139848,3021,1070,50,63,7,946655.0,955990.0,0.9861
2024-12-28T00:00:00,1403/10/08,CD1SIB0001,955000.0,970000.0,955000.0,970000.0,25245,24476718340,1155865,16017,1087,50,120,24,955990.0,969567.0,1.4202
2024-12-29T00:00:00,1403/10/09,CD1SIB0001,985000.0,985000.0,970000.0,985000.0,22380,22035038130,1158478,2613,1116,50,110,30,969567.0,984586.0,1.549
2024-12-30T00:00:00,1403/10/10,CD1SIB0001,977600.0,985000.0,964000.0,985000.0,114138,110239050620,1269339,110861,1149,50,105,12,984586.0,965840.0,-1.9039
2024-12-31T00:00:00,1403/10/11,CD1SIB0001,980000.0,984990.0,967500.0,980000.0,110530,107183891990,1367340,98001,1179,50,113,10,965840.0,969727.0,0.4024
2025-01-01T00:00:00,1403/10/12,CD1SIB0001,984890.0,984980.0,969000.0,969000.0,60144,58395756380,1415256,47916,1211,51,127,6,969727.0,970932.0,0.1243
2025-01-02T00:00:00,1403/10/13,CD1SIB0001,978990.0,979000.0,970000.0,971970.0,4319,4198653470,1416149,893,1218,51,36,5,970932.0,972136.0,0.124
2025-01-04T00:00:00,1403/10/15,CD1SIB0001,950260.0,969990.0,945000.0,949990.0,124794,118949575440,1526743,110594,1242,51,114,23,972136.0,953167.0,-1.9513
2025-01-05T00:00:00,1403/10/16,CD1SIB0001,959990.0,959990.0,945600.0,945600.0,36057,34246424150,1542762,16019,1268,51,123,15,953167.0,949786.0,-0.3547
2025-01-06T00:00:00,1403/10/17,CD1SIB0001,954000.0,954000.0,935000.0,940000.0,99091,93415773970,1620403,77641,1288,51,113,15,949786.0,942727.0,-0.7432
2025-01-07T00:00:00,1403/10/18,CD1SIB0001,966900.0,967000.0,948000.0,955000.0,24713,23669950240,1641368,20965,1316,52,84,18,942727.0,957793.0,1.5981
2025-01-08T00:00:00,1403/10/19,CD1SIB0001,966920.0,966920.0,945000.0,947000.0,279048,265844537480,1917257,275889,1345,53,155,16,957793.0,952684.0,-0.5334
2025-01-09T00:00:00,1403/10/20,CD1SIB0001,967000.0,967000.0,960000.0,960000.0,1306,1259397710,1918431,1174,1349,53,31,6,952684.0,964317.0,1.2211
2025-01-11T00:00:00,1403/10/22,CD1SIB0001,965000.0,969000.0,946500.0,957000.0,109947,104264827970,2022516,104085,1375,53,106,22,964317.0,948319.0,-1.659
2025-01-12T00:00:00,1403/10/23,CD1SIB0001,950000.0,962990.0,946000.0,953010.0,378724,362402713690,2400481,377965,1413,53,101,11,948319.0,956905.0,0.9054
2025-01-13T00:00:00,1403/10/24,CD1SIB0001,969970.0,970000.0,952000.0,963000.0,283685,273515170340,2673800,273319,1421,54,94,35,956905.0,964151.0,0.7572
2025-01-14T00:00:00,1403/10/25,CD1SIB0001,0,0,0,0,0,0,2673800,0,1421,54,0,0,964151.0,964151.0,0
2025-01-15T00:00:00,1403/10/26,CD1SIB0001,968980.0,968980.0,932000.0,941050.0,609354,574767527240,3279080,605280,1440,54,134,24,964151.0,943241.0,-2.1687
2025-01-16T00:00:00,1403/10/27,CD1SIB0001,966850.0,966850.0,943000.0,944150.0,17486,16545839910,3291955,12875,1446,54,52,7,943241.0,946234.0,0.3173
2025-01-18T00:00:00,1403/10/29,CD1SIB0001,956980.0,956980.0,945000.0,949990.0,500047,474844610560,3785268,493313,1471,54,97,17,946234.0,949600.0,0.3557
2025-01-19T00:00:00,1403/10/30,CD1SIB0001,935140.0,950000.0,935140.0,950000.0,382840,362093762170,4089348,304080,1488,54,81,16,949600.0,945810.0,-0.3991
2025-01-20T00:00:00,1403/11/01,CD1SIB0001,969990.0,969990.0,936510.0,936510.0,178702,168935835180,4266327,176979,1510,54,127,18,945810.0,945349.0,-0.0487
2025-01-21T00:00:00,1403/11/02,CD1SIB0001,987990.0,987990.0,900000.0,900020.0,658236,611307805740,4625125,358798,1557,55,214,20,945349.0,928706.0,-1.7605
2025-01-22T00:00:00,1403/11/03,CD1SIB0001,950000.0,950000.0,920000.0,936940.0,208380,194017300680,4819983,194858,1586,55,144,31,928706.0,931074.0,0.255
2025-01-23T00:00:00,1403/11/04,CD1SIB0001,957000.0,957000.0,938000.0,938000.0,43376,41119442140,4855360,35377,1596,55,63,18,931074.0,947977.0,1.8154
2025-01-25T00:00:00,1403/11/06,CD1SIB0001,940000.0,949960.0,906550.0,910000.0,65236,59898137960,4901143,45783,1627,55,183,20,947977.0,918176.0,-3.1436
2025-01-26T00:00:00,1403/11/07,CD1SIB0001,937800.0,937800.0,900000.0,905000.0,644755,581674857490,5542867,641724,1658,55,173,24,918176.0,902164.0,-1.7439
2025-01-27T00:00:00,1403/11/08,CD1SIB0001,920000.0,920000.0,900000.0,909910.0,205323,184902640710,5719586,176719,1686,55,145,21,902164.0,900545.0,-0.1795
2025-01-28T00:00:00,1403/11/09,CD1SIB0001,0,0,0,0,0,0,5719586,0,1686,55,0,0,900545.0,900545.0,0
2025-01-29T00:00:00,1403/11/10,CD1SIB0001,910000.0,910000.0,899000.0,900000.0,357707,321920604030,6068639,349053,1721,55,154,30,900545.0,899956.0,-0.0654
2025-01-30T00:00:00,1403/11/11,CD1SIB0001,918000.0,918000.0,900010.0,904000.0,14224,12902550380,6080292,11653,1728,56,50,9,899956.0,907097.0,0.7935
2025-02-01T00:00:00,1403/11/13,CD1SIB0001,910000.0,920000.0,900000.0,900000.0,135514,122484869050,6212880,132588,1769,56,185,22,907097.0,903854.0,-0.3575
