تاریخ_nav,قیمت ابطال,قیمت صدور,قیمت آماری,ارزش خالص دارایی‌ها,تعداد واحدهای سرمایه‌گذاری شده,date_greg,تاریخ_comp,پنج نماد برتر (%),سهام (%),اوراق (%),سایر (%),نقد (%),سپرده (%),gold_legs_weight_pct,legs_as_of,reconciled_total_pct,usdt_open,usdt_close,usdt_high,usdt_low
2024-12-30,10074.0,10074.0,10074.0,10074416153524,2173449990,2024-12-30,2024-12-30,0.0,0.0,0.0,0.75,0.5,98.75,98.94420000000001,2026-06-21,,,,,
2024-12-31,10044.0,10067.0,10044.0,10043664095137,2173449990,2024-12-31,2024-12-31,55.6,55.6,0.0,14.54,0.0,29.86,98.94420000000001,2026-06-21,,,,,
2025-01-01,10036.0,10067.0,10036.0,10036375681128,2173449990,2025-01-01,2025-01-01,74.55,74.55,0.0,10.51,0.0,14.94,98.94420000000001,2026-06-21,,,,,
2025-01-02,9997.0,10027.0,9997.0,9996824425729,2173449990,2025-01-02,2025-01-02,74.51,74.51,0.0,10.49,0.0,15.0,98.94420000000001,2026-06-21,,,,,
2025-01-03,9998.0,10028.0,9998.0,9997554463186,2173449990,2025-01-03,2025-01-03,74.5,74.5,0.0,10.5,0.0,15.0,98.94420000000001,2026-06-21,,,,,
2025-01-04,9837.0,9867.0,9837.0,9836879112058,2173449990,2025-01-04,2025-01-04,74.42,74.42,0.0,10.34,0.0,15.24,98.94420000000001,2026-06-21,,,,,
2025-01-05,9877.0,9907.0,9877.0,9876996985628,2173449990,2025-01-05,2025-01-05,74.53,74.53,0.0,10.29,0.0,15.18,98.94420000000001,2026-06-21,,,,,
2025-01-06,9782.0,9812.0,9782.0,9782066781898,2173449990,2025-01-06,2025-01-06,74.28,74.28,0.0,10.39,0.0,15.33,98.94420000000001,2026-06-21,,,,,
2025-01-07,9974.0,10007.0,9974.0,9973884791605,2173449990,2025-01-07,2025-01-07,84.12,84.12,0.0,0.85,0.0,15.03,98.94420000000001,2026-06-21,,,,,
2025-01-08,10030.0,10065.0,10030.0,10030042733022,2173449990,2025-01-08,2025-01-08,89.38,89.38,0.0,10.62,0.0,0.0,98.94420000000001,2026-06-21,,,,,
2025-01-09,10126.0,10162.0,10126.0,10125800289852,2173449990,2025-01-09,2025-01-09,89.48,89.48,0.0,10.52,0.0,0.0,98.94420000000001,2026-06-21,,,,,
2025-01-10,10125.0,10161.0,10125.0,10125469718366,2173449990,2025-01-10,2025-01-10,89.48,89.48,0.0,10.52,0.0,0.0,98.94420000000001,2026-06-21,,,,,
2025-01-11,10185.0,10224.0,10185.0,10184728019101,2173449990,2025-01-11,2025-01-11,98.04,98.04,0.0,1.96,0.0,0.0,98.94420000000001,2026-06-21,,,,,
2025-01-12,10122.0,10161.0,10122.0,10122032702206,2173449990,2025-01-12,2025-01-12,98.02,98.02,0.0,0.84,0.0,1.14,98.94420000000001,2026-06-21,,,,,
2025-01-13,10200.0,10239.0,10200.0,10199779873921,2173449990,2025-01-13,2025-01-13,97.89,97.89,0.0,0.05,0.0,2.06,98.94420000000001,2026-06-21,,,,,
2025-01-14,10199.0,10239.0,10199.0,10199472580253,2173449990,2025-01-14,2025-01-14,97.89,97.89,0.0,0.05,0.0,2.06,98.94420000000001,2026-06-21,,,,,
2025-01-15,10071.0,10110.0,10071.0,10070623077576,2173449990,2025-01-15,2025-01-15,97.86,97.86,0.0,0.05,0.0,2.09,98.94420000000001,2026-06-21,,,,,
2025-01-16,10028.0,10067.0,10028.0,10028154818302,2173449990,2025-01-16,2025-01-16,97.85,97.85,0.0,0.06,0.0,2.09,98.94420000000001,2026-06-21,,,,,
2025-01-17,10028.0,10067.0,10028.0,10027850451481,2173449990,2025-01-17,2025-01-17,97.85,97.85,0.0,0.06,0.0,2.09,98.94420000000001,2026-06-21,,,,,
2025-01-18,10110.0,10150.0,10110.0,10110326186805,2173449990,2025-01-18,2025-01-18,97.87,97.87,0.0,0.05,0.0,2.08,98.94420000000001,2026-06-21,,,,,
2025-01-19,10125.0,10165.0,10125.0,10125415896011,2173449990,2025-01-19,2025-01-19,97.87,97.87,0.0,0.06,0.0,2.07,98.94420000000001,2026-06-21,,,,,
2025-01-20,10059.0,10098.0,10059.0,10059469358058,2173449990,2025-01-20,2025-01-20,97.85,97.85,0.0,0.06,0.0,2.09,98.94420000000001,2026-06-21,,,,,
2025-01-21,10410.0,10451.0,10410.0,10410091113670,2173449990,2025-01-21,2025-01-21,97.92,97.92,0.0,0.06,0.0,2.02,98.94420000000001,2026-06-21,,,,,
2025-01-22,10589.0,10630.0,10589.0,10589087540744,2173449990,2025-01-22,2025-01-22,97.96,97.96,0.0,0.06,0.0,1.98,98.94420000000001,2026-06-21,,,,,
2025-01-23,10700.0,10742.0,10700.0,10700372706855,2173449990,2025-01-23,2025-01-23,97.98,97.98,0.0,0.06,0.0,1.96,98.94420000000001,2026-06-21,,,,,
2025-01-24,10700.0,10742.0,10700.0,10700058546666,2173449990,2025-01-24,2025-01-24,97.98,97.98,0.0,0.06,0.0,1.96,98.94420000000001,2026-06-21,,,,,
2025-01-25,10722.0,10764.0,10722.0,10722199023222,2173449990,2025-01-25,2025-01-25,98.0,98.0,0.0,0.06,0.0,1.94,98.94420000000001,2026-06-21,,,,,
2025-01-26,10766.0,10808.0,10766.0,10765779081558,2173449990,2025-01-26,2025-01-26,98.0,98.0,0.0,0.06,0.0,1.94,98.94420000000001,2026-06-21,,,,,
2025-01-27,10827.0,10869.0,10827.0,10827244543420,2173449990,2025-01-27,2025-01-27,98.01,98.01,0.0,0.06,0.0,1.93,98.94420000000001,2026-06-21,,,,,
2025-01-28,10827.0,10869.0,10827.0,10826923178083,2173449990,2025-01-28,2025-01-28,98.01,98.01,0.0,0.06,0.0,1.93,98.94420000000001,2026-06-21,,,,,
2025-01-29,10692.0,10733.0,10692.0,10691777596012,2173449990,2025-01-29,2025-01-29,97.99,97.99,0.0,0.25,0.0,1.76,98.94420000000001,2026-06-21,,,,,
