تاریخ_nav,قیمت ابطال,قیمت صدور,قیمت آماری,ارزش خالص دارایی‌ها,تعداد واحدهای سرمایه‌گذاری شده,date_greg,تاریخ_comp,پنج نماد برتر (%),سهام (%),اوراق (%),سایر (%),نقد (%),سپرده (%),gold_legs_weight_pct,legs_as_of,reconciled_total_pct,silverbar_last_price,silverbar_settlement_price,silverbar_trades_volume,usdt_open,usdt_close,usdt_high,usdt_low
2023-07-19,67067.0,67272.0,67067.0,31706830261305.0,472765124.0,2023-07-19,,,,,,,,99.8333,2026-07-22,,,,,,,,
2023-07-20,67064.0,67269.0,67064.0,31705563353313.0,472765124.0,2023-07-20,2023-07-20,93.73,99.86,0.0,0.0,0.0,0.14,99.8333,2026-07-22,,,,,,,,
2023-07-21,67061.0,67267.0,67061.0,31704295027193.0,472765124.0,2023-07-21,2023-07-21,93.73,99.86,0.0,0.0,0.0,0.14,99.8333,2026-07-22,,,,,,,,
2023-07-22,66584.0,66788.0,66584.0,31827968385034.0,478015124.0,2023-07-22,2023-07-22,93.63,99.68,0.0,0.02,0.0,0.3,99.8333,2026-07-22,,,,,,,,
2023-07-23,65732.0,65934.0,65732.0,31630603239597.0,481205124.0,2023-07-23,2023-07-23,93.04,99.0,0.0,0.01,0.0,0.99,99.8333,2026-07-22,,,,,,,,
2023-07-24,66576.0,66781.0,66576.0,32281669967702.0,484885124.0,2023-07-24,2023-07-24,93.74,99.7,0.0,0.01,0.0,0.29,99.8333,2026-07-22,,,,,,,,
2023-07-25,67887.0,68096.0,67887.0,33143253038250.0,488215124.0,2023-07-25,2023-07-25,93.61,99.57,0.0,0.01,0.0,0.42,99.8333,2026-07-22,,,,,,,,
2023-07-26,68659.0,68871.0,68659.0,33691490331250.0,490705124.0,2023-07-26,2023-07-26,93.76,99.72,0.0,0.0,0.0,0.28,99.8333,2026-07-22,,,,,,,,
2023-07-27,68657.0,68869.0,68657.0,33690153361541.0,490705124.0,2023-07-27,2023-07-27,93.76,99.72,0.0,0.0,0.0,0.28,99.8333,2026-07-22,,,,,,,,
2023-07-28,68654.0,68866.0,68654.0,33688816392432.0,490705124.0,2023-07-28,2023-07-28,93.76,99.72,0.0,0.0,0.0,0.28,99.8333,2026-07-22,,,,,,,,
2023-07-29,68656.0,68868.0,68656.0,33800605374339.0,492315124.0,2023-07-29,2023-07-29,93.85,99.8,0.0,0.0,0.0,0.2,99.8333,2026-07-22,,,,,,,,
2023-07-30,68154.0,68365.0,68154.0,33700040630184.0,494470124.0,2023-07-30,2023-07-30,93.91,99.85,0.0,0.0,0.0,0.15,99.8333,2026-07-22,,,,,,,,
2023-07-31,69552.0,69767.0,69552.0,34597720261215.0,497440124.0,2023-07-31,2023-07-31,93.81,99.7,0.0,0.01,0.0,0.29,99.8333,2026-07-22,,,,,,,,
2023-08-01,71468.0,71690.0,71468.0,35752576090490.0,500260124.0,2023-08-01,2023-08-01,94.06,99.96,0.0,0.0,0.0,0.04,99.8333,2026-07-22,,,,,,,,
2023-08-02,71465.0,71687.0,71465.0,35751173875825.0,500260124.0,2023-08-02,2023-08-02,94.06,99.96,0.0,0.0,0.0,0.04,99.8333,2026-07-22,,,,,,,,
2023-08-03,71462.0,71684.0,71462.0,35749771661789.0,500260124.0,2023-08-03,2023-08-03,94.06,99.96,0.0,0.0,0.0,0.04,99.8333,2026-07-22,,,,,,,,
2023-08-04,71460.0,71681.0,71460.0,35748369448380.0,500260124.0,2023-08-04,2023-08-04,94.06,99.96,0.0,0.0,0.0,0.04,99.8333,2026-07-22,,,,,,,,
2023-08-05,70117.0,70336.0,70117.0,35248093962254.0,502704124.0,2023-08-05,2023-08-05,94.08,99.96,0.0,0.0,0.0,0.04,99.8333,2026-07-22,,,,,,,,
2023-08-06,69654.0,69872.0,69654.0,35236654283500.0,505881124.0,2023-08-06,2023-08-06,94.09,99.89,0.0,0.0,0.0,0.11,99.8333,2026-07-22,,,,,,,,
2023-08-07,69730.0,69949.0,69730.0,35434261143239.0,508161124.0,2023-08-07,2023-08-07,94.16,99.93,0.0,0.0,0.0,0.07,99.8333,2026-07-22,,,,,,,,
2023-08-08,69286.0,69503.0,69286.0,35485387467926.0,512161124.0,2023-08-08,2023-08-08,94.18,99.96,0.0,0.0,0.0,0.04,99.8333,2026-07-22,,,,,,,,
2023-08-09,70048.0,70267.0,70048.0,36189851185835.0,516641124.0,2023-08-09,2023-08-09,93.38,99.13,0.0,0.01,0.0,0.86,99.8333,2026-07-22,,,,,,,,
2023-08-10,70046.0,70264.0,70046.0,36188446490210.0,516641124.0,2023-08-10,2023-08-10,93.38,99.13,0.0,0.01,0.0,0.86,99.8333,2026-07-22,,,,,,,,
2023-08-11,70043.0,70262.0,70043.0,36187024695214.0,516641124.0,2023-08-11,2023-08-11,93.38,99.13,0.0,0.01,0.0,0.86,99.8333,2026-07-22,,,,,,,,
2023-08-12,67403.0,67614.0,67403.0,34979100378741.0,518951124.0,2023-08-12,2023-08-12,93.9,99.69,0.0,0.27,0.0,0.04,99.8333,2026-07-22,,,,,,,,
2023-08-13,68627.0,68842.0,68627.0,35753845148301.0,520991124.0,2023-08-13,2023-08-13,93.65,99.39,0.0,0.16,0.0,0.45,99.8333,2026-07-22,,,,,,,,
2023-08-14,68367.0,68582.0,68367.0,35768581115557.0,523181124.0,2023-08-14,2023-08-14,93.74,99.41,0.0,0.14,0.0,0.45,99.8333,2026-07-22,,,,,,,,
2023-08-15,68071.0,68285.0,68071.0,35766542105359.0,525431124.0,2023-08-15,2023-08-15,93.7,99.41,0.0,0.13,0.0,0.46,99.8333,2026-07-22,,,,,,,,
2023-08-16,67862.0,68075.0,67862.0,35746151282884.0,526751124.0,2023-08-16,2023-08-16,93.75,99.41,0.0,0.31,0.0,0.28,99.8333,2026-07-22,,,,,,,,
2023-08-17,67859.0,68073.0,67859.0,35744787973231.0,526751124.0,2023-08-17,2023-08-17,93.75,99.41,0.0,0.31,0.0,0.28,99.8333,2026-07-22,,,,,,,,
2023-08-18,67856.0,68070.0,67856.0,35743370873580.0,526751124.0,2023-08-18,2023-08-18,93.75,99.41,0.0,0.31,0.0,0.28,99.8333,2026-07-22,,,,,,,,
2023-08-19,67249.0,67460.0,67249.0,35426357210361.0,526796124.0,2023-08-19,2023-08-19,93.72,99.38,0.0,0.56,0.0,0.06,99.8333,2026-07-22,,,,,,,,
2023-08-20,67306.0,67517.0,67306.0,35510845361572.0,527606124.0,2023-08-20,2023-08-20,93.72,99.39,0.0,0.4,0.0,0.21,99.8333,2026-07-22,,,,,,,,
2023-08-21,67209.0,67421.0,67209.0,35508980711193.0,528336124.0,2023-08-21,2023-08-21,93.71,99.39,0.0,0.42,0.0,0.19,99.8333,2026-07-22,,,,,,,,
2023-08-22,67901.0,68115.0,67901.0,35897145970396.0,528666124.0,2023-08-22,2023-08-22,93.76,99.42,0.0,0.49,0.0,0.09,99.8333,2026-07-22,,,,,,,,
2023-08-23,68015.0,68229.0,68015.0,35986786346207.0,529101124.0,2023-08-23,2023-08-23,93.77,99.42,0.0,0.47,0.0,0.11,99.8333,2026-07-22,,,,,,,,
2023-08-24,68012.0,68227.0,68012.0,35985357113584.0,529101124.0,2023-08-24,2023-08-24,93.77,99.42,0.0,0.47,0.0,0.11,99.8333,2026-07-22,,,,,,,,
2023-08-25,68010.0,68224.0,68010.0,35983927837132.0,529101124.0,2023-08-25,2023-08-25,93.77,99.42,0.0,0.47,0.0,0.11,99.8333,2026-07-22,,,,,,,,
2023-08-26,67432.0,67646.0,67432.0,35813355330838.0,531101124.0,2023-08-26,2023-08-26,93.81,99.42,0.0,0.18,0.0,0.4,99.8333,2026-07-22,,,,,,,,
2023-08-27,67814.0,68029.0,67814.0,36315260159349.0,535511124.0,2023-08-27,2023-08-27,93.73,99.33,0.0,0.01,0.0,0.66,99.8333,2026-07-22,,,,,,,,
2023-08-28,67463.0,67678.0,67463.0,36401567164495.0,539576124.0,2023-08-28,2023-08-28,93.74,99.33,0.0,0.01,0.0,0.66,99.8333,2026-07-22,,,,,,,,
2023-08-29,67381.0,67595.0,67381.0,36446786471033.0,540906124.0,2023-08-29,2023-08-29,93.78,99.37,0.0,0.36,0.0,0.27,99.8333,2026-07-22,,,,,,,,
2023-08-30,67881.0,68097.0,67881.0,36719800332137.0,540946124.0,2023-08-30,2023-08-30,93.8,99.39,0.0,0.57,0.0,0.04,99.8333,2026-07-22,,,,,,,,
2023-08-31,67878.0,68094.0,67878.0,36718345945553.0,540946124.0,2023-08-31,2023-08-31,93.8,99.39,0.0,0.57,0.0,0.04,99.8333,2026-07-22,,,,,,,,
2023-09-01,67875.0,68091.0,67875.0,36716887826820.0,540946124.0,2023-09-01,2023-09-01,93.8,99.39,0.0,0.57,0.0,0.04,99.8333,2026-07-22,,,,,,,,
2023-09-02,68220.0,68437.0,68220.0,36903114197989.0,540946124.0,2023-09-02,2023-09-02,93.82,99.4,0.0,0.57,0.0,0.03,99.8333,2026-07-22,,,,,,,,
2023-09-03,68859.0,69079.0,68859.0,37439902666697.0,543716124.0,2023-09-03,2023-09-03,93.87,99.41,0.0,0.06,0.0,0.53,99.8333,2026-07-22,,,,,,,,
2023-09-04,68389.0,68607.0,68389.0,37194944134191.0,543876124.0,2023-09-04,2023-09-04,93.87,99.41,0.0,0.54,0.0,0.05,99.8333,2026-07-22,,,,,,,,
2023-09-05,68213.0,68431.0,68213.0,37099254976626.0,543876124.0,2023-09-05,2023-09-05,93.88,99.41,0.0,0.54,0.0,0.05,99.8333,2026-07-22,,,,,,,,
2023-09-06,68210.0,68428.0,68210.0,37097784005267.0,543876124.0,2023-09-06,2023-09-06,93.88,99.41,0.0,0.54,0.0,0.05,99.8333,2026-07-22,,,,,,,,
2023-09-07,68207.0,68426.0,68207.0,37096319377426.0,543876124.0,2023-09-07,2023-09-07,93.88,99.41,0.0,0.54,0.0,0.05,99.8333,2026-07-22,,,,,,,,
2023-09-08,68205.0,68423.0,68205.0,37094848407382.0,543876124.0,2023-09-08,2023-09-08,93.88,99.41,0.0,0.54,0.0,0.05,99.8333,2026-07-22,,,,,,,,
2023-09-09,68349.0,68568.0,68349.0,37238324877920.0,544826124.0,2023-09-09,2023-09-09,93.88,99.41,0.0,0.36,0.0,0.23,99.8333,2026-07-22,,,,,,,,
2023-09-10,68266.0,68485.0,68266.0,37213667530394.0,545126124.0,2023-09-10,2023-09-10,93.38,98.88,0.0,0.51,0.0,0.61,99.8333,2026-07-22,,,,,,,,
2023-09-11,68155.0,68374.0,68155.0,37179873587832.0,545516124.0,2023-09-11,2023-09-11,93.45,98.95,0.0,0.44,0.0,0.61,99.8333,2026-07-22,,,,,,,,
2023-09-12,67732.0,67949.0,67732.0,37035367482236.0,546796124.0,2023-09-12,2023-09-12,93.89,99.41,0.0,0.23,0.0,0.36,99.8333,2026-07-22,,,,,,,,
2023-09-13,68330.0,68549.0,68330.0,37410208354002.0,547496124.0,2023-09-13,2023-09-13,93.9,99.42,0.0,0.43,0.0,0.15,99.8333,2026-07-22,,,,,,,,
2023-09-14,68327.0,68546.0,68327.0,37408725938677.0,547496124.0,2023-09-14,2023-09-14,93.9,99.42,0.0,0.43,0.0,0.15,99.8333,2026-07-22,,,,,,,,
2023-09-15,68324.0,68543.0,68324.0,37407243524015.0,547496124.0,2023-09-15,2023-09-15,93.9,99.42,0.0,0.43,0.0,0.15,99.8333,2026-07-22,,,,,,,,
2023-09-16,68322.0,68541.0,68322.0,37405761110017.0,547496124.0,2023-09-16,2023-09-16,93.9,99.42,0.0,0.43,0.0,0.15,99.8333,2026-07-22,,,,,,,,
2023-09-17,67915.0,68133.0,67915.0,37183756582973.0,547506124.0,2023-09-17,2023-09-17,93.89,99.41,0.0,0.57,0.0,0.02,99.8333,2026-07-22,,,,,,,,
2023-09-18,67503.0,67719.0,67503.0,36958066032735.0,547506124.0,2023-09-18,2023-09-18,93.89,99.41,0.0,0.57,0.0,0.02,99.8333,2026-07-22,,,,,,,,
2023-09-19,67353.0,67569.0,67353.0,36876044860274.0,547506124.0,2023-09-19,2023-09-19,93.91,99.41,0.0,0.57,0.0,0.02,99.8333,2026-07-22,,,,,,,,
2023-09-20,66681.0,66895.0,66681.0,36581385565363.0,548606124.0,2023-09-20,2023-09-20,93.97,99.5,0.0,0.34,0.0,0.16,99.8333,2026-07-22,,,,,,,,
2023-09-21,66678.0,66892.0,66678.0,36579925221874.0,548606124.0,2023-09-21,2023-09-21,93.97,99.5,0.0,0.34,0.0,0.16,99.8333,2026-07-22,,,,,,,,
2023-09-22,66675.0,66889.0,66675.0,36578499980593.0,548606124.0,2023-09-22,2023-09-22,93.97,99.5,0.0,0.34,0.0,0.16,99.8333,2026-07-22,,,,,,,,
2023-09-23,66573.0,66787.0,66573.0,36522582744824.0,548606124.0,2023-09-23,2023-09-23,93.99,99.5,0.0,0.34,0.0,0.16,99.8333,2026-07-22,,,,,,,,
2023-09-24,66571.0,66785.0,66571.0,36521123871933.0,548606124.0,2023-09-24,2023-09-24,93.99,99.5,0.0,0.34,0.0,0.16,99.8333,2026-07-22,,,,,,,,
2023-09-25,66350.0,66563.0,66350.0,36399951050241.0,548606124.0,2023-09-25,2023-09-25,93.92,99.41,0.0,0.54,0.0,0.05,99.8333,2026-07-22,,,,,,,,
2023-09-26,66274.0,66487.0,66274.0,36358074856044.0,548606124.0,2023-09-26,2023-09-26,93.91,99.41,0.0,0.54,0.0,0.05,99.8333,2026-07-22,,,,,,,,
2023-09-27,65484.0,65695.0,65484.0,36050523893901.0,550521124.0,2023-09-27,2023-09-27,93.94,99.41,0.0,0.2,0.0,0.39,99.8333,2026-07-22,,,,,,,,
2023-09-28,65482.0,65693.0,65482.0,36049063965062.0,550521124.0,2023-09-28,2023-09-28,93.94,99.41,0.0,0.2,0.0,0.39,99.8333,2026-07-22,,,,,,,,
2023-09-29,65479.0,65690.0,65479.0,36047616789257.0,550521124.0,2023-09-29,2023-09-29,93.94,99.41,0.0,0.2,0.0,0.39,99.8333,2026-07-22,,,,,,,,
2023-09-30,65144.0,65354.0,65144.0,35863228451343.0,550521124.0,2023-09-30,2023-09-30,93.93,99.41,0.0,0.55,0.0,0.04,99.8333,2026-07-22,,,,,,,,
2023-10-01,65221.0,65431.0,65221.0,35915074763611.0,550663124.0,2023-10-01,2023-10-01,93.88,99.41,0.0,0.53,0.0,0.06,99.8333,2026-07-22,,,,,,,,
2023-10-02,65173.0,65382.0,65173.0,35964057684402.0,551828124.0,2023-10-02,2023-10-02,93.87,99.41,0.0,0.34,0.0,0.25,99.8333,2026-07-22,,,,,,,,
2023-10-03,65170.0,65379.0,65170.0,35962611789965.0,551828124.0,2023-10-03,2023-10-03,93.87,99.41,0.0,0.34,0.0,0.25,99.8333,2026-07-22,,,,,,,,
2023-10-04,65331.0,65541.0,65331.0,36153246902311.0,553383124.0,2023-10-04,2023-10-04,93.88,99.41,0.0,0.27,0.0,0.32,99.8333,2026-07-22,,,,,,,,
