تاریخ_nav,قیمت ابطال,قیمت صدور,قیمت آماری,ارزش خالص دارایی‌ها,تعداد واحدهای سرمایه‌گذاری شده,date_greg,تاریخ_comp,پنج نماد برتر (%),سهام (%),اوراق (%),سایر (%),نقد (%),سپرده (%),gold_legs_weight_pct,legs_as_of,reconciled_total_pct,silverbar_last_price,silverbar_settlement_price,silverbar_trades_volume,usdt_open,usdt_close,usdt_high,usdt_low
2024-03-03,25978.0,26012.0,25978.0,21008693236638.0,827693000.0,2024-03-03,2024-03-03,0.0,0.0,0.0,0.26,0.0,0.15,99.33709999999999,2026-06-21,,,,,,,,
2024-03-04,26574.0,26609.0,26574.0,21506923011700.0,828293000.0,2024-03-04,2024-03-04,0.0,0.0,0.0,0.33,0.0,0.15,99.33709999999999,2026-06-21,,,,,,,,
2024-03-05,27445.0,27481.0,27445.0,22260615817790.0,830093000.0,2024-03-05,2024-03-05,0.0,0.0,0.0,0.6,0.0,0.08,99.33709999999999,2026-06-21,,,,,,,,
2024-03-06,27353.0,27389.0,27353.0,22271295332469.0,833193000.0,2024-03-06,2024-03-06,0.0,0.0,0.0,1.02,0.0,0.07,99.33709999999999,2026-06-21,,,,,,,,
2024-03-07,27410.0,27446.0,27410.0,22317621115330.0,833193000.0,2024-03-07,2024-03-07,0.0,0.0,0.0,1.01,0.0,0.07,99.33709999999999,2026-06-21,,,,,,,,
2024-03-08,27409.0,27445.0,27409.0,22316982139057.0,833193000.0,2024-03-08,2024-03-08,0.0,0.0,0.0,1.01,0.0,0.07,99.33709999999999,2026-06-21,,,,,,,,
2024-03-09,27778.0,27814.0,27778.0,23031184970879.0,848093000.0,2024-03-09,2024-03-09,0.0,0.0,0.0,1.84,0.0,0.48,99.33709999999999,2026-06-21,,,,,,,,
2024-03-10,27100.0,27136.0,27100.0,22458150383960.0,847693000.0,2024-03-10,2024-03-10,0.0,0.0,0.0,0.27,0.0,1.25,99.33709999999999,2026-06-21,,,,,,,,
2024-03-11,27205.0,27241.0,27205.0,22754827296205.0,855393000.0,2024-03-11,2024-03-11,0.0,0.0,0.26,1.48,0.0,0.09,99.33709999999999,2026-06-21,,,,,,,,
2024-03-12,27124.0,27159.0,27124.0,22691771957244.0,855593000.0,2024-03-12,2024-03-12,0.0,0.0,0.38,0.44,0.0,1.01,99.33709999999999,2026-06-21,,,,,,,,
