تاریخ_nav,قیمت ابطال,قیمت صدور,قیمت آماری,ارزش خالص دارایی‌ها,تعداد واحدهای سرمایه‌گذاری شده,date_greg,تاریخ_comp,پنج نماد برتر (%),سهام (%),اوراق (%),سایر (%),نقد (%),سپرده (%),gold_legs_weight_pct,legs_as_of,reconciled_total_pct,usdt_open,usdt_close,usdt_high,usdt_low
2023-07-19,23846.0,23892.0,23846.0,18364287177987.0,752800000.0,2023-07-19,,,,,,,,99.6236,2026-06-21,,,,,
2023-07-20,23830.0,23875.0,23830.0,18351643105254.0,752800000.0,2023-07-20,2023-07-20,0.0,0.0,0.0,0.13,0.0,0.11,99.6236,2026-06-21,,,,,
2023-07-21,23829.0,23874.0,23829.0,18350898096270.0,752800000.0,2023-07-21,2023-07-21,0.0,0.0,0.0,0.13,0.0,0.11,99.6236,2026-06-21,,,,,
2023-07-22,23677.0,23722.0,23677.0,18234069575879.0,752800000.0,2023-07-22,2023-07-22,0.0,0.0,0.0,0.01,0.0,0.09,99.6236,2026-06-21,,,,,
2023-07-23,23373.0,23418.0,23373.0,18007054263674.0,753100000.0,2023-07-23,2023-07-23,0.0,0.0,0.0,0.05,0.0,0.09,99.6236,2026-06-21,,,,,
2023-07-24,23662.0,23707.0,23662.0,18255613547387.0,754200000.0,2023-07-24,2023-07-24,0.0,0.0,0.0,0.18,0.0,0.06,99.6236,2026-06-21,,,,,
2023-07-25,24132.0,24178.0,24132.0,18634821659208.0,754900000.0,2023-07-25,2023-07-25,0.0,0.0,0.0,0.05,0.0,0.06,99.6236,2026-06-21,,,,,
2023-07-26,24412.0,24459.0,24412.0,18873475883282.0,755800000.0,2023-07-26,2023-07-26,0.0,0.0,0.0,0.1,0.0,0.06,99.6236,2026-06-21,,,,,
2023-07-27,24411.0,24458.0,24411.0,18872715329330.0,755800000.0,2023-07-27,2023-07-27,0.0,0.0,0.0,0.1,0.0,0.06,99.6236,2026-06-21,,,,,
2023-07-28,24410.0,24457.0,24410.0,18871954775378.0,755800000.0,2023-07-28,2023-07-28,0.0,0.0,0.0,0.1,0.0,0.06,99.6236,2026-06-21,,,,,
2023-07-29,24392.0,24439.0,24392.0,18877585814585.0,756600000.0,2023-07-29,2023-07-29,0.0,0.0,0.0,0.11,0.0,0.06,99.6236,2026-06-21,,,,,
2023-07-30,24227.0,24273.0,24227.0,18749385653566.0,756600000.0,2023-07-30,2023-07-30,0.0,0.0,0.0,0.01,0.0,0.16,99.6236,2026-06-21,,,,,
2023-07-31,24719.0,24767.0,24719.0,19197436382333.0,759300000.0,2023-07-31,2023-07-31,0.0,0.0,0.0,0.1,0.0,0.23,99.6236,2026-06-21,,,,,
2023-08-01,25408.0,25456.0,25408.0,19770039970323.0,760800000.0,2023-08-01,2023-08-01,0.0,0.0,0.0,0.2,0.0,0.26,99.6236,2026-06-21,,,,,
2023-08-02,25407.0,25455.0,25407.0,19769254309362.0,760800000.0,2023-08-02,2023-08-02,0.0,0.0,0.0,0.2,0.0,0.26,99.6236,2026-06-21,,,,,
2023-08-03,25406.0,25454.0,25406.0,19768468648401.0,760800000.0,2023-08-03,2023-08-03,0.0,0.0,0.0,0.2,0.0,0.26,99.6236,2026-06-21,,,,,
2023-08-04,25405.0,25453.0,25405.0,19767682987440.0,760800000.0,2023-08-04,2023-08-04,0.0,0.0,0.0,0.2,0.0,0.26,99.6236,2026-06-21,,,,,
2023-08-05,24944.0,24992.0,24944.0,19526732049970.0,765500000.0,2023-08-05,2023-08-05,0.0,0.0,0.0,0.61,0.0,0.15,99.6236,2026-06-21,,,,,
2023-08-06,24747.0,24794.0,24747.0,19474056873120.0,769600000.0,2023-08-06,2023-08-06,0.0,0.0,0.0,0.12,0.0,0.29,99.6236,2026-06-21,,,,,
2023-08-07,24773.0,24820.0,24773.0,19514338004866.0,770400000.0,2023-08-07,2023-08-07,0.0,0.0,0.0,0.33,0.0,0.14,99.6236,2026-06-21,,,,,
2023-08-08,24623.0,24669.0,24623.0,19646849281446.0,780600000.0,2023-08-08,2023-08-08,0.0,0.0,0.0,0.91,0.0,0.14,99.6236,2026-06-21,,,,,
2023-08-09,24892.0,24938.0,24892.0,19891218425537.0,781800000.0,2023-08-09,2023-08-09,0.0,0.0,0.0,0.6,0.0,0.14,99.6236,2026-06-21,,,,,
2023-08-10,24849.0,24896.0,24849.0,19857451786232.0,781800000.0,2023-08-10,2023-08-10,0.0,0.0,0.0,0.59,0.0,0.14,99.6236,2026-06-21,,,,,
2023-08-11,24848.0,24895.0,24848.0,19856658943483.0,781800000.0,2023-08-11,2023-08-11,0.0,0.0,0.0,0.59,0.0,0.14,99.6236,2026-06-21,,,,,
2023-08-12,23961.0,24006.0,23961.0,19169048493050.0,782700000.0,2023-08-12,2023-08-12,0.0,0.0,0.0,0.02,0.0,0.14,99.6236,2026-06-21,,,,,
2023-08-13,24399.0,24445.0,24399.0,19519322920223.0,782700000.0,2023-08-13,2023-08-13,0.0,0.0,0.0,0.01,0.0,0.07,99.6236,2026-06-21,,,,,
2023-08-14,24278.0,24324.0,24278.0,19423015558857.0,782700000.0,2023-08-14,2023-08-14,0.0,0.0,0.0,0.01,0.0,0.07,99.6236,2026-06-21,,,,,
2023-08-15,24200.0,24246.0,24200.0,19360413221913.0,782700000.0,2023-08-15,2023-08-15,0.0,0.0,0.0,0.01,0.0,0.07,99.6236,2026-06-21,,,,,
2023-08-16,24119.0,24165.0,24119.0,19295809654140.0,782700000.0,2023-08-16,2023-08-16,0.0,0.0,0.0,0.01,0.0,0.07,99.6236,2026-06-21,,,,,
2023-08-17,24069.0,24115.0,24069.0,19255926677766.0,782700000.0,2023-08-17,2023-08-17,0.0,0.0,0.0,0.01,0.0,0.07,99.6236,2026-06-21,,,,,
2023-08-18,24068.0,24114.0,24068.0,19255147458579.0,782700000.0,2023-08-18,2023-08-18,0.0,0.0,0.0,0.01,0.0,0.07,99.6236,2026-06-21,,,,,
2023-08-19,23893.0,23938.0,23893.0,19114973363493.0,782700000.0,2023-08-19,2023-08-19,0.0,0.0,0.0,0.01,0.0,0.07,99.6236,2026-06-21,,,,,
2023-08-20,23919.0,23964.0,23919.0,19135292342554.0,782700000.0,2023-08-20,2023-08-20,0.0,0.0,0.0,0.01,0.0,0.07,99.6236,2026-06-21,,,,,
2023-08-21,23897.0,23942.0,23897.0,19117870723784.0,782700000.0,2023-08-21,2023-08-21,0.0,0.0,0.0,0.01,0.0,0.07,99.6236,2026-06-21,,,,,
2023-08-22,24143.0,24189.0,24143.0,19315031222013.0,782700000.0,2023-08-22,2023-08-22,0.0,0.0,0.0,0.01,0.0,0.07,99.6236,2026-06-21,,,,,
2023-08-23,24178.0,24223.0,24178.0,19342747285295.0,782700000.0,2023-08-23,2023-08-23,0.0,0.0,0.0,0.01,0.0,0.07,99.6236,2026-06-21,,,,,
2023-08-24,24179.0,24225.0,24179.0,19343981313166.0,782700000.0,2023-08-24,2023-08-24,0.0,0.0,0.0,0.01,0.0,0.07,99.6236,2026-06-21,,,,,
2023-08-25,24179.0,24224.0,24179.0,19343200697752.0,782700000.0,2023-08-25,2023-08-25,0.0,0.0,0.0,0.01,0.0,0.07,99.6236,2026-06-21,,,,,
2023-08-26,23958.0,24003.0,23958.0,19166741612402.0,782700000.0,2023-08-26,2023-08-26,0.0,0.0,0.0,0.01,0.0,0.07,99.6236,2026-06-21,,,,,
2023-08-27,24093.0,24138.0,24093.0,19274877991516.0,782700000.0,2023-08-27,2023-08-27,0.0,0.0,0.0,0.01,0.0,0.07,99.6236,2026-06-21,,,,,
2023-08-28,23968.0,24013.0,23968.0,19174433394116.0,782700000.0,2023-08-28,2023-08-28,0.0,0.0,0.0,0.01,0.0,0.07,99.6236,2026-06-21,,,,,
2023-08-29,23942.0,23987.0,23942.0,19154323187885.0,782700000.0,2023-08-29,2023-08-29,0.0,0.0,0.0,0.01,0.0,0.07,99.6236,2026-06-21,,,,,
2023-08-30,24118.0,24162.0,24118.0,19847055305453.0,805600000.0,2023-08-30,2023-08-30,0.0,0.0,0.0,2.31,0.0,0.06,99.6236,2026-06-21,,,,,
